text,intent
how much is a battery ?,question
what information can i ask you,question
what time is it in russia,question
i want to see the nutritional content of the hamburger,question
will i have to wait long for a table at pietro's this evening,question
could you give me some details about that ?,question
i am not picky on food . just bring me the day menu .,inform
when should i tell him to call back ?,question
then use the xerox machine .,directive
"peter.peter brown , you know.don ' t forget to bring the letter .",inform
"john , do you have a minute ?",directive
is there a tire repair place near the post office,question
"it's like this , it's square with a leather cover .",inform
what's he trying to pull anyway .,inform
"sure , they do .",inform
"what's the apr on my visa card, please",inform
that looks great . just one more thing-you need some high heels with those jeans . do you want a pair with a plain pattern or ones with a leopard print on them ?,question
the same to you . keep in touch .,inform
the rooms are very tidy and the flowers grew very well.you are very helpful . i want to thank you for everything you've done for me .,gratitude
"bring me the menu , please .",directive
"ugh , in about thirty minutes , sir .",inform
sandy . do you have a minute ?,question
"sure . you should include your name , address and phone number in your resume .",directive
"hush ! the wall has ears , you know .",directive
"is it ? oh , no . the concert will begin in twenty minutes . are we too late to get there ?",question
that means month / day / year . use numbers .,inform
you can't write with one hand and draw with the other .,directive
2 months .,inform
"i picked up some poison oak while hiking , and i can ’ t stop itching .",directive
about fifteen minutes.it ' s not far.are you a stranger in new york ?,question
"sure , if you've got any problem you can ask me .",commissive
"could you tell me a bit more about the work there ? i mean , those dos and don'ts . i am a green hand , you know .",question
we need to consider several other applicants and we hope to make a decision by the end of this month . we will call you regardless of whether you are hired or not .,inform
i ’ m afraid you ’ re going in the opposite direction .,inform
how long until the credit card company replaces my lost card,inform
"okay , more relaxed . got it . hey , sally , what ' s up ? it's tracy here , just .",question
i'm worrying about my exam .,inform
you mean this one ?,question
"oh , no . we've brought your return ticket for you . i think you'll find it comfortable .",inform
my card has a burn on it,complaint
no trouble at all . may i know your name and room number ?,question
"yes , we can pack the goods according to your instructions .",inform
"i have no idea what kbps means . i just want to be able to get online , play games and chat with my friends . oh , and watch movies online as well .",inform
what do tourists do in tokyo,question
i see that . that was a nice ride .,inform
"it doesn't matter , they are the same thing .",inform
"i still have time to explore more of new york , but i need a place to secure my baggage .",directive
show my position on the map,question
please tell me how much i owe sprint and how much i owe hsn,inform
did you check with reception at your hotel ?,directive
please speak slower,directive
two .,inform
it is our 10th wedding anniversary this june 20 .,inform
just mr . white .,inform
you've got it .,commissive
can you use the whisper voice,inform
it's freezing .,inform
"yes , but nothing's happened .",inform
give me the nutritional details for a cup of yogurt,question
"no , i tried to shake her hand , but her hand was so limp i was a bit offended .",inform
what you age on your last birthday,question
"uh , oh , sure . well , i think we should keep in mind that the key to good sales is advertising .",inform
"well , afternoon flight on december 10th to shanghai . may i have your name , please ?",question
i think we have a while longer .,inform
what's that supposed to mean — that it's weak ?,question
can you put a stop on my account,directive
"that is true . i ’ ll list for you the requirements of almost all the universities . first of all , you need official transcripts of your undergraduate work , three letters of recommendation from your professors who know your competence , and the official toefl ( test of english as a foreign language ) score ( it ’ s usually 550 ) . then you need a financial guarantee , and an application fee of 25 dollars .",directive
that ’ s too bad . how was your english teacher ?,question
how about some zongzi ?,directive
which one is best ?,question
"you too . oh , i forgot to tell you one thing . a girl called this afternoon . she said she was your ex-girlfriend . she wanted you to call her back .",directive
no need ! i know how to make dumplings . let's do it from scratch . can you give me a hand in the kitchen ? i don't think i can finish everything by myself .,directive
call sandra right now,directive
"judy , what is everybody talking about ?",question
"well , his son had an accident and bill doesn ’ t have health insurance . this really got me thinking , and i wondered if we shouldn ’ t look into a couple of different hmo ’ s .",inform
yes . the price has been reduced by 50 % . it ’ s a real bargain .,inform
in seven days it will be christmas day .,inform
why are you arresting me ?,question
you can take it in a couple weeks .,commissive
i'd like to apply for a credit card . can you help me with my application ?,directive
how many miles can i drive on 1 gallon of gas,inform
las vegas weather today,question
"please book me an uber and enter destination penn station, new york",directive
thank you . how long it take to get my son's hair cut ?,gratitude
switch to the whisper mode,inform
our red underwear didn't do any good at all !,inform
i can't find it now .,commissive
can i try this lipstick ?,directive
"well , that's great .",commissive
resume writing and interviewing are our two most popular workshops .,inform
"yes , i understand how to do this .",commissive
what is the status for what i requested for my vacation,inform
that was taken at the train station before we left .,inform
send fifty dollars from me to carrie,inform
i enjoyed speaking with you,farewell
"well , mary types faster than jones . but i think jones types more carefully .",inform
"don't worry , i'll drive you .",directive
i got to meet the night anger today too . we got along right from the start .,inform
quality is very important to us . we work to very low tolerance levels . we need to have guaranteed supplies of consistently high quality raw materials . over the years we've built up very good relationships with our suppliers .,inform
here is the catalogue and the price list . you can take a look .,inform
my card is cracked and i want to report it,complaint
i want to open a current account .,directive
can i travel to south africa without getting a shot,question
"no , seriously . . . i really want this .",inform
it's two blocks down the road .,commissive
are you familiar with the office management ?,question
unsync from my phone please,directive
"how do you like this grey one ? it ’ s pure wool , one hundred percent of xinjiang wool .",directive
i need to pay this month's tv subscription fee,inform
set a reminder to pick up the kids,directive
is that so ? why not ?,commissive
"by the way , we would like to order some dishes for my friend .",directive
he told me that his friend's car broke down and they had to walk home .,inform
"don't rush , behave yourself please ! let the people get off first .",commissive
it is in the hotel ballroom down the street .,inform
"but what ? just remember that thrift is not only a great virtue , but also a great revenue .",question
good afternoon . mr . tylor's office ?,question
please desync my current mobile,directive
make a switch to whisper mode,inform
can you tell me my minimum due for citicard,inform
"i worked in a foreign representative office for one year . however , i leave there two years ago because the work they gave me was rather dull . i found another job that was more interesting .",inform
could you point me in the direction of the bank ? i ’ ve lost my way .,directive
should i clean the windshield for you ?,question
alright . do you have your receipt ?,question
"as a matter of fact , he hasn't been feeling too well .",inform
you will feel much better except for the fact that you might have a little cough .,directive
no ! are you kidding me ?,question
i couldn't have asked for more .,inform
"yes , uh ... i put it in the front of my sociology notebook . oh , here it is .",commissive
is it a horror movie ?,question
"look , there's a chessboard . those two men have already finished playing .",inform
rent the tuxedo the day before,inform
a driver ’ s license or something showing that you live in this city .,directive
"hi , ryan , this is malia , and i will not be coming to work today .",greeting
we ’ ve invited all our sophomore friends from school .,inform
when will i get paid next,inform
"well , you could never tell about the weather here in new york .",inform
we might have cancellations . could you call us again some other day ?,directive
very good . perhaps you'd like something else to go with the roses ?,directive
i want to put you in a different language,directive
is the factory fully-automated ?,question
"can you describe for me , where you were sitting ?",question
what was your minor subject ?,question
then how are you gonna deal with the problem of getting extra weight ?,question
the blacks got divorced .,inform
when will i need to change my tires again,inform
then you must be off your head . he is a real bastard .,inform
how would you put what life is all about,question
recently i have been getting headache and my eyes come to see focus properly .,inform
i see.that ’ s all right . don ’ t put the blame on yourself .,inform
he has a girlfriend already .,inform
my plane leaves at seven twenty-five .,inform
i'm sure they'll be fine once you break them in .,inform
can you set a 30 second timer,directive
i saw yesterday that they rent windsurfers at the beach . i want to rent one .,inform
you'll find out when we're in the woods and you have to go to the bathroom ...,inform
roll a 10 sided dice,inform
that's pretty good . let's do it .,commissive
set an alarm for 9pm please,directive
"oh , we always go to the movies.can ' t we do something different ?",question
what day do i get paid next,inform
wake me up at noon tomorrow,directive
no . i can't wait . i feel awful . the dinner appointment has to be canceled .,commissive
"er , good morning , yes , er ...",inform
"let me see if i have that right . this contract is for six months of training , but if it isn't cancelled , continues for another six months . is that right ?",question
"i think so , because most young people like modern dances , such as rock and roll .",inform
"which tea do you prefer , black or jasmine tea ?",question
how about we taking a tour to hawaii ? i have a 2 - weeks ' vacation .,directive
really ? we have only one chance every year .,inform
"just one night , when my flight was canceled due to bad weather . it ’ s bearable if you just need a place to crash , but you definitely don ’ t want to book a vacation there . unless you enjoy sharing your room with cockroaches .",inform
"yes , i'm now working in a company .",inform
"this is my uncle , charles .",inform
it's a pity that i was traveling around europe at that time .,inform
"hi , andy . i am going to isabel ’ s . are you coming ?",greeting
yep . see how long and curly my lashes are ?,question
"show me some classic high heels , please .",directive
all right . we'll make the shipment as soon as your l / c is on hand .,commissive
i'm figuring out my budget .,inform
"in 2004 , i got a job in the sales department of a trading company near guangzhou . i started a sales representative . a year later , i was promoted to the position of sales manager . i had that job ever since , which is just over a year now .",inform
what can i get for 10 usd in cad,question
"oh , i don't like that restaurant . i don't want to go there .",commissive
"you have to be realistic . not everyone is going to agree with you , but people will respect your opinion and they will respect the fact that you have contributed something to the discussion .",directive
give me the time left before i get to the hotel,question
"interesting . hey , look over there . the dance floor is already packed with people . oh , the girl in red dances great .",inform
"all right . goodbye , dave .",commissive
"northward airways , good morning . may i help you ?",question
"it's very expensive , right ?",question
"not exactly . our policy states that the loange could be the person studying abroad , for example , you , or your direct relative or spouse .",directive
"it's a job i have been dreaming of for many years . while it is difficult , i am convinced that there is nothing more noble and rewarding than this profession .",inform
can i go in to look for a job at their office ?,question
when was your reservation ?,question
"hi marry , this is tom .",greeting
"well , there are many boys that can play the piano very well , like jay chou .",inform
we'll try our best .,commissive
i must learn my routing number,inform
"no , not recently .",inform
do you have any questions you want to ask ?,question
"that's a big mistake , you should always have a good breakfast . you will not run your car without fuel , and yet you won't expect your body to work without food .",inform
are there any positive reviews for wendy's,question
"of course i know . but there is too high a rate . frankly speaking , the maximum discount we can make is 6 % .",commissive
"hello , i wish to speak to mr.zhang .",greeting
"of course , i did , but when i was ten ! trick - or-treating is for kids , plus , i ’ m sure people will think you ’ re a kidnapper or something , running around with kids ncp at night .",inform
"good evening , sir . welcome to our restaurant .",inform
because i am very interested in administration and i did take some courses in it . i also performed well in the subjects . hence i believe that i can do a good job in this position .,inform
how quickly will you need your supplies ?,question
good morning everyone . thank you for attending the meeting today . i'm sure you all have a copy of the agenda . so let's get started with the first issue .,gratitude
they are . the only reason they didn't disqualify him until after the race is because the results from the text only came back afterwards .,inform
should i try to put the fire out ?,question
"i'm really sorry , bob . i accidentally damaged your bike .",inform
could you drive me to the bank ?,directive
of course . i have my own license and an international license .,commissive
you can do that ?,question
show me the goals of my local police department in terms of reducing crime,inform
that's right .,inform
can you check how many miles i walked today when i was out get the info from my phone,inform
yeah . i'm brad .,confirmation
"yes , it is . but you must pay a deposit for the card .",directive
the library is next to the adminstration building . the adminstration building is over there near the school ’ s main entrance . there are school maps for free in the lobby of the admin .,inform
jay chou's title song in his new album .,inform
it's really eye-catching . it's the biggest dragon lantern i've ever seen in all my life .,inform
please get everything on my shopping list,directive
"did you watch television last night , charles ?",question
"don't worry about that , dave . look , i have to see vince now . think about what i said .",directive
"well , his wife is japanese . he said she makes really good sushi .",inform
it will be cash today .,directive
"ok , i completely understand .",commissive
i would like to get that .,directive
"thanks . you know , i just noticed that these eggs are fried , and i ordered scrambled .",gratitude
where did you see then last ?,question
like this one ?,question
are you here for the position advertised in china daily ?,question
i need to move money from one account to another,inform
"sure . you know it has an online edition , too . you should go online to read if you want to read it now .",commissive
it's his 50th birthday .,inform
"we will have a party here , right ?",question
i need an uber for 2 for orlando,directive
what is an ataraxy,question
"that's pretty good . by the way , what are you doing next saturday ?",question
i'm afraid not.he ' s gone for the rest of the day .,inform
that ’ s all there is to it .,inform
"yes , i agree with you . i am going to find a good company and invest in it soon .",inform
check my visa account and see if i have enough money for dinner tonight,inform
that's a good idea . that will allow both you and your parents to enjoy yourselves .,commissive
i want to leave the motorbike outdoors .,inform
jump to the next song on this playlist,inform
"i ’ m terrible at cards and so i never play games which involve gambling , like poker . if i did , i ’ d lose all my money .",inform
"i know , they look very similar .",inform
i was thinking about it . are you ?,question
"well , it all started when my brother challenged me to quit smoking .",commissive
"i ’ m sorry , sam . i don ’ t want to foc-concert .",inform
that's exactly how i feel .,inform
can you tell me the ratings for yardhouse,question
there are so many people that the tickets are all sold out !,inform
"yes, that's accurate",confirmation
"no , not at all , brian . this year , we ’ ve all had to cut back . i ’ m hoping next year ’ s going to better . i hope you can understand .",directive
"that's wonderful , sir . now , here's your key . should you need anything , just dial 0 .",directive
"normally , i would take you up on that suggestion , but just the champagne will do for tonight .",commissive
i mostly did advertising planning .,inform
"i think that show biz stars have a really easy life . they have lots of money , so they can buy almost anything they want . they ’ re famous , so everyone loves them .",inform
yes ! let ’ s go sailing and water skiing . that ’ s so exciting .,commissive
"if i could , i would like to view the apartment sometime today .",directive
"excuse me , could you give me change for a dollar ?",directive
lt's a tv palace ! i'm glad i brought my platinum card .,inform
"our benefits usually include medical insurance , public accumulation fund and allowances .",inform
may i see your driver's license ?,directive
please dial christie's number,directive
"yeah , that's what i thought . but , i've heard that the perks are better . i was wondering if that was really true .",confirmation
"pretty well , i guess .",inform
"all right . when can we meet again for more specific details , ms chi ?",question
"1021.it ' s a duet ! come on , pick the mic and sing along !",directive
please play the next song,inform
"oh , i see . fortunately government has taken some action to prevent such things .",inform
my favorite recreation is cooking . i learned to cook chinese dishes and western style dishes as well . it keeps me busy and makes me happy .,inform
how's my day off request looking,inform
it's almost like going on an ocean cruise except that you go by land . everything is planned for you from the moment you step on board a luxury coach .,inform
what are some fun cheap activities to do in colorado,question
thanks very much and you're very eloquent .,gratitude
"i know , but i think they may add something valuable to the discussion .",directive
i went shopping without my umbrella yesterday morning .,inform
"pleased meet you , too , mr . dou .",inform
"i don ’ t see any wrinkles or sagging skin ! you are 25 , stop being ridiculous . besides , i think that people who get boto , have facelifts , or tummy tucks look weird . it doesn ’ t look natural .",directive
i don't have an aspirin . perhaps you should go to a doctor .,directive
good morning . this is apple corporation . may i speak to ballam ?,question
i'm in the kitchen ... let yourself in !,inform
i'm sorry to hear that . i'm afraid it is often the case during the peak hours . shall i ask them to call you when the line is free ?,directive
dutton hotels . how may i help you today ?,question
can you tell me my checking account balance,inform
i need new language,directive
tell us how .,directive
"sure , go ahead .",inform
i found a great school for junior !,inform
"well , black is a better color than pink . pink ’ s for girls .",inform
all right .,commissive
"my name is luo gang , and the phone number is 513-3284 .",commissive
"excuse me , haven't we met somewhere before ?",question
what are the accesses of the job ads ?,question
could you point me in that direction ?,directive
"yes , are you ?",question
please revert to the original settings,directive
"why, hello bandit",greeting
thank you for your help .,gratitude
"oh , lord , no . those are ugly . what else do you have ?",question
i want to immigrate to the states because my daughter works and lives there .,inform
"can you type , jane ?",question
that's because you don't know the short cuts . you'll learn them after a while . i can show you the ropes .,commissive
is there traffic on route to work,question
"he really knew his stuff , but he graded hard . would that be ok ?",question
"the ac, could you tell me the temperature",directive
do you have a credit card with us ?,question
how could i replace my oil and what form of oil ought to i take advantage of,inform
can you please tell me where you are located ?,question
"and a typical example has been the chinese athletes at the beijing olympics , right ?",question
how do you say hello in mexico,question
"ok , let's have that then .",commissive
"if you'll just give me your name , phone , and date of visit , i can cancel your reservation .",directive
just fine.are you busy now ?,question
"no , you're got on the wrong bus . you can take a no . 22 bus at the university station and then transfer to a no . 83 bus at the railway station .",inform
what kind of keys ?,question
"let me find that on my screen ... yes , the l / c is right here . i'm sorry ; the documents don't seem to be here yet .",inform
"well , you ’ re really as out-dated as she is .",inform
there's no limit to how often you can use your bus pass .,inform
verify my reservation for smith and wollensky at 6:45,question
what do the numbers mean ?,question
thank you so much . you guys are really responsible .,gratitude
what chunk of my income have i spent on rent this year,inform
i'll just get a snickers then .,inform
did i create a task to clean the gutters on my list,directive
i ’ ve decided to grow my own garden !,inform
you need a bath every day .,directive
are we going to see them in june or are they coming to see us ?,question
"ah , well , we have no choice .",inform
i'm just poring over some brochures about various car models .,inform
thank you . i will go get one .,gratitude
what percentage of the stockholders actually attend the meetings ? i'm guessing not a large percentage ...,question
"sure . hi , monica , richard again . have you ever heard about our company ? it is an international one with good reputation . we have a lot of successful cases . if you ’ re trying advance your career , i would love to help you . xyz company is one of our clients . they ’ re in need of the talent like you . would you be interested in taking part in an interview ? it is scheduled some time within this week .",directive
are they different from other companies ?,question
can you translate bat into russian for me,question
can you tell me what kind of life form you are,question
can you tell me where your wine list is ?,directive
"yes . if people can not communicate with each other easily , they can not understand each other's way of thinking .",inform
i can smell smoke !,inform
"of course , his machine must have been connected to a computer .",inform
hello . i'd like to speak to susan .,greeting
"yes , in paris , france .",inform
i want to know some trivia about our solar system,question
thank you very much . hope you enjoy your stay .,gratitude
someone else is making charges on my debit card .,inform
do you know when the best time for me to change my tires next would be,inform
it is a true,confirmation
am i back in your good books ?,question
"yes , i took off 4 kilos . i am glad you notice it .",inform
from april 16th to 20th . just my wife and myself .,inform
that's better . i like travelling .,commissive
"yes , it's mr . brown .",commissive
"oh , i see.thank you .",gratitude
have your mechanics finished yet ?,question
i would like to have my coat washed .,directive
have you got any cheaper ones ?,question
i know that generally it is possible to move from this position to a management position with two years experience in the company,inform
you too.thanks for dropping in .,gratitude
10 pence off if you use this coupon .,inform
what's the best make-up to cover a black eye,inform
instruct me what to do,directive
i need a hotel room big enough for 4 people from monday to wednesday in lakewood,directive
"i ’ d like that , but i ’ m flying home this afternoon , and i told my parents i ’ d meet them at the airport for lunch .",commissive
"okay , miss .",commissive
i'll try to speak in another language or i'll try my best to use gestures and draw pictures .,inform
he loved his family and his countrymen and his freedom .,inform
it seems to me that now you're famous . you've got to go out and be seen at the right places and go to the right parties .,inform
you mean the white building near the playground ?,question
"yes , but i think i'll have orange juice first .",inform
is it possible to talk to you in mandarin,directive
why do you want to teach at our school ?,question
and here is the menu . i'll come back soon .,inform
hey ! what is this ?,greeting
that'd be very helpful . an extra weekend is all they really need . thanks .,gratitude
"did i buy too many donuts recently, like last week",inform
tell me about yourself,question
absolutely ! bob and his whole family are welcome here any time !,inform
"oh , that's too bad . do you get a good knowledge of china ?",question
"i can write computer programs , i have a good command of secretarial skills .",inform
"that's for sure . you know , it's really amazing to be in the best concert hall , listening to the performance by the best orchestra . i had the greatest time ever .",inform
don ’ t forget that horses are still used in many countries to pull ploughs and carts .,inform
what's the traffic like to city hall,question
it doesn't sound like an english word .,inform
"we have a selection of orange , apple , grape and lemonade .",inform
"i expected too high from that movie , but i was a bit disappointed about it .",inform
you were playing it very late last night .,inform
is it urgent ?,question
unbelievable ! how do people go through it ?,question
yes . i don't want to be stuck in a rut . i want to move on .,directive
really ? i'm in a hurry . all right .,question
remind me of the date of my last paycheck,inform
i am a reporter from channel 5 news .,inform
"ok . hold on , please .",commissive
"well , ted , this is a very impressive resume . however , we do have several other applicants to finish interviewing before we can make a final decision . we ’ ll call you by friday , if that ’ s all right .",directive
they're here ! now that's speedy service ! and they arrived within two days of each other !,inform
how come it is slow as a snail today ?,question
excellent . i have been expecting it .,inform
"no , thanks . we'll come back later . may i reserve a table for two ?",gratitude
"yes , sunday sounds fine . what time ?",question
excuse me . what are these charges ?,question
affirmative,confirmation
of course . we gave him a big carrot for a nose .,inform
study english .,inform
i need a aaa service place to make an appointment for my tires to be assessed,inform
are the plumbing all right ?,question
"huh ? we are going to play for money , aren ’ t we ?",question
"next please ! hello sir , may i see your passport please ?",directive
why don't you visit the great wall first ?,directive
now can you tell me if you have a good command of both written and spoken english ?,directive
that sounds just right to me . what was wrong with it ?,question
not even a single drop ?,question
the cranberries . i love their music . how about you ? do you like them ?,inform
your main responsibility is trouble-shooting between top management and the general employees .,directive
"in fact , could i ask you for the recipe ?",directive
"yes , anything wrong ?",question
aquire me them kyrie 4s,directive
again ?,question
return to your original settings,directive
i need you to cancel my reservation for 5 at red robin,directive
yes . to our first anniversary and many more to come . cheers !,inform
i need you to repeat that please,inform
"about a year ago , he started feeling weak all the time .",inform
i don't know . it looks a little wrong down .,inform
can you send me an uber to go to a restaurant in downtown phoenix,directive
15 years .,inform
"you're right . i should talk to him . sometimes , it's not easy being a parent . thanks . it helps to get it off my chest . you're always so easy to talk to .",gratitude
"as a matter of fact , i would like to work in south america . so some latin language like spanish or portuguese would work .",inform
"well , i just wanted to say well done . really you did a great job .",inform
"to be frank , a letter of credit would increase the cost of my import . when i open a letter of credit with a bank , i have to pay a deposit . that will tie up my money and add to my cost .",directive
well . what ’ s the climate like in your country ?,question
"instead of walking , you can take this shuttle to get you there faster .",commissive
what's the first thing you should do to wash your car,inform
i want to call mark,directive
then there's the cantonese cuisine and the kiangsu cuisine . most southerners like them .,inform
"i think so.but before i apply , could you tell me more about the work ?",directive
i have a reservation for a single with a bath .,directive
"no , it's already included in your room fare .",inform
they're quite nice . but i'm afraid they're quite a bit expensive .,commissive
i guess the games i like the most are the ones that i'm good at !,inform
tell me what the word die means,question
he's not doing too well .,inform
"don ’ t mention it . it ’ s my pleasure . have you been to one of these large , sit-down dinner parties since you got to new haven ?",question
"certainly . come to my office at ten ten . be prompt , please . i've another appointment at 11 .",directive
"hmm , you're right .",inform
how do i tell the difference between a ripe one and an unripe one ?,question
"i see , and what about the keyboard ?",question
i need to know my phone's location,directive
how about 560 436 4040 .,directive
any new ideas on the mr . fro case ? how can we give this motor oil a new brand identity ?,question
"ok , go on .",inform
cool !,inform
"well , uh , i'll let you decide that for yourself . he'll be here a little later . here's our room !",inform
print out the photos i took today,inform
"this is soft , may i speak to lamely ?",directive
sure here it is .,commissive
can you find music by slow magic to put on,directive
"then , you put s in this blank .",inform
why ? you mean a lot to me .,inform
"i'm sorry , miss . we can't do it . we must follow the prescription.and this prescription has run out .",commissive
how about the monitor ?,question
how are you feeling ?,question
i know . i still haven't heard from her . the good thing is that i'm so angry with her that i don't feel sad about not having her around .,inform
i am new to the work and i will appreciate your guidance !,directive
i can teach you how .,directive
please give my routing number for my national account,inform
maybe our checker is faster at scanning the food .,inform
how many vacation days do i still get,question
"if you have exactly the same one-same color , same design , and same size , of course .",inform
"yeah , he has a good commend of computer skills . but ...",confirmation
"good morning , sir . may i see your passport ?",directive
please tell me my current gps coordinates,question
"55 dollars , madam .",inform
"if you can , could you pick up my prescription for me ?",directive
it is ok . my boss briefs me later on .,inform
"okay tracy , now it's too relaxed ! you've still got to show some respect . how about starting with "" dear ms . cooper , i'm writing to confirm ... ?",directive
"gosh , another stop.it seems the cars ahead of us have to stop every two minutes , it's no quicker than a bus .",inform
what should i take first ?,question
do you know jeffery has published his second detective novel ?,question
go ahead and connect to my phone,directive
it will do .,commissive
wait a moment .,commissive
"i'm sorry , sir , but may i see your driver's licence and insurance policy , please ? i have to give you a ticket .",directive
the company's performance has improved since wallace became president . he's made our little business into a real lucrative operation . products are selling like hotcakes .,inform
"with pleasure . we arrange two kinds of tourist programs for suzhou , a six-day tour by train and a five-day flying journey .",commissive
