text,intent
i like playing chess .,inform
do you have any hobbies besides playing chess ?,question
i'm afraid not .,inform
do you have any hobbies like playing tennis or things like that ?,question
"oh , yes . i like playing basketball .",inform
can you tell me why you like it ?,question
because i like the feeling of cooperating with others .,inform
where is john ? i can't find him anywhere .,question
haven't you heard that he is in prison ?,question
what ? beg your pardon .,question
john is in prison now . he was copped outstealing .,inform
i just cann't believe my ears !,inform
can i help you ?,question
"i hope so . i'm looking for some material for a paper i'm writing , and i'm not quite sure where to look .",directive
i'll certainly try to help you.what topic is your paper on ?,question
my paper is on the influence of television on children .,inform
there are several possible sources you might use for that topic . i suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,directive
thank you for you help .,gratitude
"hey , ted . what are you up to this friday ?",greeting
"well , i have the day off from work .",inform
that ’ s great ! do you have any plans ?,question
"well , i ’ ve been working so hard lately , so i ’ ll probably just take it easy .",inform
sounds nice .,inform
"yeah , i ’ ll probably just stay in and relax . maybe watch a few movies .",confirmation
can i stop by ?,directive
sure . any time .,commissive
you honestly believe the world ’ s improving every year ?,question
"yes , i do . i think that science is making us wiser . what do you think ?",question
i don ’ t think you ’ re right there .,inform
i believe industry is making us wealthier .,inform
i don ’ t believe that .,inform
"and in my opinion , medicine is making us healthier .",inform
"i agree with you in the sense . but we ’ re all more miserable than ever , aren ’ t we ?",question
"i don ’ t agree with you . i maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago .",inform
that ’ s your opinion not mine .,inform
what do you plan to do for your birthday ?,question
"i want to have a picnic with my friends , mum .",inform
how about a party at home ? that way we can get together and celebrate it .,directive
"ok , mum . i'll invite my friends home .",commissive
how may i help you ?,question
i would like to return this book .,directive
is that all you need ?,question
i also want to check out this video .,directive
is that all you would like to check out ?,question
that ’ s all i need .,inform
do you have your library card ?,directive
here it is .,commissive
make sure to take proper care of this video .,directive
that won ’ t be a problem .,commissive
"if you damage the video , you will be fined .",directive
i won ’ t damage it .,commissive
what's the matter with you then ? you look miserable .,question
it's us .,inform
what do you mean by us .,question
"well , you always say you're busy .",inform
that's right .,inform
and you often go back to live with your parents and leave our son in the room by himself .,inform
"i ... i ... i miss my parents , also they miss me .",inform
"oh i remember , i cut terrible calls , and you didn't say anything about it .",inform
you mean i am groaned a few words ?,question
totally not . perhaps it's about our marriage .,inform
"hi , mary . you look pale today . what's the matter with you ?",greeting
i think i've caught a cold . now i'm aching all over .,inform
you'd better take some medicine and have a good rest . i hope you'll be yourself pretty soon .,inform
thank you . i suppose i should go to see a doctor .,gratitude
"i feel like going for a drink , it's been a long day .",directive
"great idea ! peter , i could use the drink .",commissive
how about the new bar across road ?,directive
"sounds good . the food there is fantastic , too .",commissive
"i agree , i had lunch there last week .",inform
excellent ! that sounds like a plan .,inform
"could you tell me the right time , please ?",directive
well . my watch says five past two . but it ’ s no use rely on it because it has been gaining and losing these last a few days .,inform
you have to go and fix it .,directive
yes . i will .,commissive
does your family have a record of your ancestors ?,question
sure . my mom has been working on our family tree for years . she ’ s always updating it .,inform
do you have a copy of your family tree in your house ? i ’ d love to see it .,directive
"i can show it to you now , if you like . i think it goes back about 8 generations so far .",commissive
that ’ s amazing . do you have a large extended family ?,question
i ’ ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side .,inform
are you very close to your first-cousins ?,question
"the ones that are my age are close relatives . now that i ’ m older , i don ’ t spend as much time with them as i used to , so i don ’ t know my younger cousins as well as the older ones .",inform
i see . who ’ s the head of your household ?,question
"it ’ s definitely my mother . and , her mother is definitely the matriarch of the bigger family .",inform
that ’ s interesting . what does your grandfather think of your step-mother ?,question
"at first , she was quite critical of her , but now that they ’ ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother .",inform
"that ’ s pretty much how you feel about your step-mother . like grandmother , like grandson .",inform
"hi , mr . wang . do you feel like going boating with me ?",greeting
"sounds interesting , i haven't gone boating for some time now , and what time ?",question
how about tomorrow afternoon ?,directive
sure . where shall i meet you ?,question
at the gate of the park .,inform
great . i look forward to meeting you .,commissive
see you then .,farewell
see you .,farewell
i hear that you've been to the saikei ski resort for the weekend . did you enjoy it ?,question
"yes , it's so exciting , though i had the most falls in our skiing team .",inform
isn't there any coach to teach you how to ski ?,question
of course there is . the top-level coaches there are from the state sports general administration .,inform
could you move smoothly ?,question
yes.my face even ached in the icy wind .,confirmation
what happened afterwards ?,question
i was skiing on and on excitedly until i realized one thing-i could not stop ! you can just imagine how terrified i was .,inform
poor girl !,inform
you look pale recently .,inform
yeah . i have got much pressure in the company . i have tobe wrapped upon my work .,confirmation
take good care of yourself .,directive
thank you . i will .,gratitude
"hey , maggy , did you hear about david ?",greeting
"about david ? no , i didn ’ t hear anything .",question
"you know , about david and his new boss .",inform
"sorry , i don ’ t quite follow you .",inform
"well , i heard david has been fired .",inform
"oh , that is a shame . he is really hard working .",inform
how do you usually get to school ?,question
i usually ride my bike . which form of transport do you prefer to use ?,question
"i feel that i can see more when i pedal a bicycle , but when i feel lazy , i drive my car .",inform
i think we should discourage people from using their private cars . they produce too much pollution !,inform
"i agree , but i would find it difficult to stop using my car . it's just so convenient .",inform
"cars might be convenient , but they're so bad for the environment .",inform
do you have a car ?,question
"no . i used to have one though . once i started using my bicycle to get around , i found that i didn't really need it .",inform
"maybe if i sold my car now , i wouldn't be so tempted to use it .",inform
you could try . it would save you a lot of money .,inform
"that's true . every month , i spend hundreds of dollars on gas , insurance , and repairs .",inform
"if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too !",inform
i could stand to lose a few pounds . having a car has made me lazy . i never end up walking anywhere !,inform
let's go to a car dealership . i'll help you try to sell your car for a good price .,directive
sounds good ! let's go !,commissive
what's wrong with him ?,question
his nose is out of joint because we forgot to invite him to the party .,inform
"what are you going to do for one year abroad , tom ?",question
"study , study , study . i want to learn a lot .",inform
you are going to take courses ?,question
yes . i am going to take some university courses there .,inform
sounds hard .,inform
"yes , but i think it's probably for the best .",inform
won ’ t you get lonely ?,question
"hey , i am a pretty cool guy . i will make friends , and i'll have a lot of extracurricular activities too . you know , like fencing , or theater or something .",greeting
"isn't this lovely weather ? will you help me water the flowers , jack ?",directive
"well , do you think i have to ?",question
i do.we haven't watered them for quite a few days .,inform
please look at the sky.don ' t you see the dark clouds ? it's going to rain soon .,inform
good.so we don't have to work.how nice !,inform
but i don't think it's so nice .,inform
why ?,question
the weather report says it's going to rain for a whole week .,inform
"oh , i'm afraid all the flowers will die in the rain .",inform
"on , darn . the grocery store is closed .",inform
"yeah , this one closes at ten . we could drive to the 24 - hour store on sixth .",confirmation
alright . we are out of everything .,commissive
i wish the store close to us was open 24 - house a day .,inform
"i know , our schedules are so weird . sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home .",inform
"yeah , and the prices there are very high .",confirmation
i know . three dollars for milk .,inform
do you think they two will get married ?,question
you can count on it .,inform
"i think so.yes , they get along so well .",inform
i like him.he ' s good for her .,inform
you're right . he sure is .,inform
"dad , where are we off to ?",question
first we will go to the city centre and stop for something to drink . then we will visit the university museum .,inform
where are we going to have a drink ?,question
there is a coffee shop round the corner . can you see that big building at the end of the road ?,question
yes ?,question
that is a bank . the coffee shop is opposite the bank .,inform
good . i will have hot chocolate .,inform
a stop ! wait for the lights to turn green .,inform
when crossing the road you must always pay attention to what's around you .,inform
sorry . how far is the museum ?,question
i am not sure . we will ask for directions in the coffee shop .,inform
here we are . you find us a table and i'll get the drinks .,inform
how about going to the cinema tonight ?,directive
that's great . what's on tonight ?,commissive
"i am not sure about the name of the film , but i know it's a romantic one .",inform
romantic ? i am afraid i like thrillers better .,inform
don't you think it's too bloody ?,question
"on the contrary , very exciting .",inform
i feel so uncomfortable .,inform
are you sick ?,question
no . the teacher is dragging the chalk over the blackboard . it set my teeth on edge .,inform
he ’ ll finish writing in a minute .,inform
i have made up my mind . i am getting a tattoo .,inform
really ? are you sure ?,question
yeah ! why not ? they are trendy and look great ! i want to get a dragon on my arm or maybe a tiger on my back .,confirmation
"yeah but , it is something that you will have forever ! they use indelible ink that can only be removed with laser treatment . on top of all that , i have heard it hurts a lot !",confirmation
really ?,question
of course ! they use this machine with a needle that pokes your skin and inserts the ink .,inform
"oh , i didn ’ t know that ! i thought they just paint it on your skin or something .",inform
"i think you should reconsider and do some more research about tattoos . also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic .",inform
maybe i should just get a tongue piercing !,inform
"excuse me , what's the screen near your steering wheel for ?",question
it's a portable tv . it's a popular thing now .,inform
"oh , that's new to me . so what's on everyday ?",question
"news about current affairs , documentaries , music , movies , noncommercial ads and so on .",inform
is there anything interesting ?,question
"yes , there are something good and informative . i think that many people underestimate the value of tv in education .",inform
i agree . are there any commercials on the tv ?,question
of course . because the tv stations need to make money from commercials between the programs .,inform
that makes a lot of sense . does the tv work well ?,question
not always . it depends on the transmission of the satellite signals .,inform
i got it . do you pay for the programs ?,question
"yes , 50 yuan per month .",inform
"oh , no !",inform
how dreadful !,inform
look at the view from the window .,directive
"oh , dear . that ’ s terrible . not at all what i expected .",commissive
"it ’ s awful , isn ’ t it ?",inform
i can ’ t bear to look at it . i ’ m rather disappointed .,inform
it can ’ t be helped .,inform
"what do you do in your free time , nancy ?",question
"well , i like playing the violin .",inform
really ? how long have you been playing the violin ?,question
about ten years so far . i started learning when i was in middle school .,inform
that's really interesting .,inform
sure . so what about you ? do you have any hobbies ?,question
"well , i like collecting matchbox ! i'm not sure if that counts , though .",inform
of course it does . everybody has his own hobby .,inform
how can i tell her about this ?,question
"don't worry , you'll find a way .",directive
there is no need to be so frustrated .,commissive
how can you live without job in the future ?,question
"don't worry , you'll find a way .",directive
what sports do you like to play ?,question
i like baseball and basketball .,inform
how about football ?,question
"in my country football is brand new , so i never learned the game when i was younger .",inform
it's a very popular game in america .,inform
yeah . i heard a lot about it . is it really that fun ?,confirmation
"for me , it's one of those games that are fun to both watch and play .",inform
are you a football player ?,question
"no , i just for fun with my friends . we play two hand touch or flag football . we're too old to play tackle football .",inform
what is two hand touch and flag football ?,question
"instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing .",inform
i see . it's safer then right ?,question
"exactly . we play every saturdays on the field by the tennis courts . if you want to learn and play a little , you're welcome to join us .",confirmation
i'll give it a try . give me a call and let's go down together .,commissive
ok . i'll call you saturday morning .,inform
great .,inform
what upsets you ?,question
"my parents called . as usual , they reminded me again that i should have a plan to marry by my late 20s . easier said then done . who should i marry ? i have no time to go on a date .",inform
it is not your mother finding one for you ?,question
"i will find one myself , of course . i ’ m a modern girl .",inform
"perhaps you can try the three minutes date , the latest type .",directive
"you mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , i hate that idea .",commissive
"no , there is an updated virgin , three minutes video date . i know an online dating website providing such service with a microphone and webcam , you can sigh for it . you can be face-to-face with a guy talking for maximum three minutes .",inform
i don ’ t think it makes sense . three minutes is such a short time .,inform
"i think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight .",inform
"anyway , i don ’ t want to post my face up for sale on the internet like that .",inform
"don ’ t worry . there are many other options using the internet as dating methods . some sites operate at international standard even have got certifications . of course , for these sites , you have to pay a membership fee . but all in all , it is more serious and professional . the chance of meeting a good and serious person who does not play games is higher .",inform
i don ’ t want to post my personal information on the internet . i ’ m not knowing who is reading it .,inform
are you going to the party on saturday ?,question
i was thinking about it . are you ?,question
"yeah , i heard it's going to be a lot of fun .",confirmation
"really ? well , what time does it start ?",question
it starts at 8,inform
"well , who all is going to be there ?",question
everyone from school .,inform
how do you know it's going to be so fun ?,question
"this party is going to have a dj , food , and drinks .",inform
"wow , that does sound like it's going to be fun .",inform
so am i going to see you at the party ?,question
"yeah , i will be there .",confirmation
could you talk to me for a few minutes about my grades ?,directive
step into my office for a moment . what is your concern ?,question
am i failing ?,question
let's go on the computer to see what's up . do you think you are doing well ?,question
i am pretty sure that i am in trouble .,inform
"i can see that you are trying , but where do you think you could improve ?",question
i missed a few classes ; i need to make sure i come to school on a regular basis .,inform
"having a regular study routine and following it is very important , right ?",directive
i'll try ; it's hard !,commissive
thanks for stopping by !,gratitude
good luck on your test tomorrow . we'll be crossing our fingers for you !,inform
thanks .,gratitude
i'll never ever work together with him !,inform
what happened ? quarrel again ?,question
will you take my materials back from him for me ? please !,directive
don't ask me . i don't wanna be involved in your quarrel .,commissive
"oh , my god ! i've been cheated !",inform
what ? what did you buy ?,question
it's a brick ! i can't believe how stupid i was . damn it !,inform
what is it ? why did you buy a brick ?,question
"there was a guy on the sidewalk.he had three new boxes , panasonic video camera boxes.he said he had to get rid of them quick .",inform
and ?,question
so he said he'd sell me one for twenty dollars . a four-hundred-dollar camera for twenty bucks .,inform
and it's a brick ?,question
yes .,inform
i can't believe how stupid you are . why didn't you open the box ?,question
"i wanted to . but he said , no , the box is still in its plastic wrap from the store.if it's opened , other people won't believe it's new .",inform
so he had the boxes wrapped in plastic .,inform
"yes , it was the kind of perfect plastic wrap that comes with new products.look , it even had a bar-code price sticker on it ! it looked brand new .",inform
but why would a guy be selling new video cameras for twenty dollars ?,question
he said he had to get rid of them . they were stolen .,inform
"aha ! now i understand.you were trying to buy stolen goods on the sidewalk.so , what i think is , you deserve to get cheated !",inform
"c'mon , don't blame me ! i thought it was a new camera . we could use it.we were even thinking about buying a camera . i don't understand how he could have such a perfect-looking box .",inform
that's no problem.he just has a friend who works in a shop that can do plastic wrap . that's easy.and probably it's the same shop he got the boxes from.maybe his friend works in an electronics store . they sell video cameras there.probably they had a couple video camera boxes lying around.so they get the idea of wrapping bricks to sell to fools like you.twenty dollars a brick . that's a good profit if they can sell enough bricks .,inform
"you're right , sarah . i was a fool . i can't believe it . how could i fall for such a trick ?",inform
is the clock right ?,question
i'm afraid it gains a little .,inform
by how many minutes ?,question
two .,inform
"hey , mary , what's up ?",greeting
"just so so . last night i met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight .",inform
"oh , that's exciting . what does this guy look like ? is he hot ?",question
"well , i didn't think so at first . but as we started talking , i found him extremely funny and witty . i couldn't stop laughing at his jokes ! and we have so much in common . we like the same team , music , and most amazingly , we both love chinese food ! i have the feeling that we are going to be great friends .",inform
it seems you two are a good match . what qualities do you look for in a friend ?,question
"there's nothing definite i think . i don't have a list or anything , but when i first meet somebody , i can usually tell whether or not that person is going to be a good friend . it seems i have radar helping me spot new friends .",inform
"well , that's something i've never heard of . but if you ask me what i value most in a friend , i would say honesty .",inform
i agree . you can't expect a close relationship with a dishonest person . those are the people that will turn their back on you when you are in need .,inform
"yeah , i know . a friend in need is a friend indeed . i don't need fair-weather friends either .",confirmation
what ’ s up ? you don ’ t look too good .,question
"yeah , my head hurts , that ’ s all . i ’ ve been in physics class all day . it ’ s killer !",confirmation
"i liked physics . it ’ s all math , really . arcs , curves , velocity , cool stuff .",inform
"yeah , yeah , but today ’ s lesson was all about the creation of the universe .",confirmation
a physics class about the creation of the universe ? that ’ s some pretty unscientific language there . sounds more religious to me .,inform
it ’ s all religion . take the theory of the big bang.how is it possible that all of the stuff in the universe comes from an explosion ? that ’ s no better than atlas carrying the globe on his back or african myths about turtles and stuff .,inform
"turtles ? whatever ... look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . at least , that ’ s what the math says .",inform
"math , sheath . what ’ s the evidence ?",question
"there is evidence ! you know edwin hubble ? he ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . what would it be expanding from ? well , the big bang ... duh !",inform
"anyway , it ’ s just a theory . why do people go around touting theories ? where ’ s the scientific rigor in that ?",question
"dude , don ’ t equivocate . a theory only becomes a theory after withstanding rigorous testing . you slept through class , didn ’ t you ?",inform
today more and more people advocate lifelong learning . but people have different views about lifelong learning . how do you understand lifelong learning ?,question
i think lifelong learning is the concept that it's never too soon or too late for learning,inform
does that mean studying all the time ?,question
"i don't think so . i think it's about your attitude towards learning . one should be open to new ideas , decisions , skills or behaviors .",inform
then the axiom - ' you can't teach an old dog new tricks ' doesn't work any longer .,inform
you're right . lifelong learning is about finding learning opportunities at all ages and in numerous contexts,inform
"yes , i agree with you . when i retired i will participate in programs to keep momentally active .",inform
"me too . to keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things .",inform
you know what ? i've recently been teaching myself french .,question
really ? that's great ! i know that your company has a lot of clients in france .,inform
"yes , so i want to learn french to develop my career .",inform
how old are you ?,question
nine ... but i'll be ten on may 1st.when is your birthday ?,question
i'm older than you ! i'll be ten on april 14th .,inform
are you going to have a birthday party ?,question
maybe . i'll have to ask my mother .,inform
it smells like an ashtray in here !,inform
hi honey ! what ’ s wrong ? why do you have that look on your face ?,greeting
what ’ s wrong ? i thought we agreed that you were gonna quit smoking .,inform
no ! i said i was going to cut down which is very different . you can ’ t just expect me to go cold turkey overnight !,inform
"look , there are other ways to quit . you can try the nicotine patch , or nicotine chewing gum . we spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . it ’ s not like you can just light up like before .",inform
"i know , i know . i am trying but , i don ’ t have the willpower to just quit . i can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! please understand ?",inform
fine ! i want a divorce !,inform
why are you shivering ?,question
it's freezing .,inform
it seems that you get antsy when you hear i praise another guy .,inform
"i get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him .",inform
how come you think of him that way ?,question
because you seem to have lost your vigilance . you should be on the watch out .,inform
i have no reason to distrust him . he's never caused any harm .,inform
isn't there anything that sounds fishy ?,question
nothing smells a rat . i told you that he's an all-right guy .,inform
all-right guy ? all right . let's talk about something else instead .,question
cheese ! it tastes like cardboard .,inform
i think so . maybe that ’ s why it ’ s cheap here .,inform
have you signed up to join the company ’ s christmas party ?,question
"sure , i have . will you join ?",question
"i will . you know , as a newcomer , i think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere .",inform
you are right . our company ’ s christmas party has always been an amazing occasion for everybody to relax and get to know each other better . it is also a time to make new friends and do some networking .,inform
i hope that it is not a formal one when the boss is there .,inform
"no , it will not be formal at all . it is a fun time . you will love the game show . please dress casually . usually there is an over abandon of drinks , so be careful with that .",directive
"don ’ t worry , i can handle that . and i know if the boss is there , even it is an informal evening , it does not make a good impression to get totally drunk in front of him .",commissive
"if the weatherman's predictions are accurate , it should rain tomorrow .",inform
i hope not . then we'd have to reschedule our baseball game .,inform
"hi , emily , do you know that guy over there ?",greeting
