text,intent
set timer of 5 minutes,directive
"""can u set a timer for 5 minutes",directive
set a one hour timer,directive
please set a timer for 20 minutes,directive
set a five minute timer please,directive
set a timer for two hours,directive
can you set a two hour timer,directive
set the timer for me please,directive
you need to set the timer for me,directive
i need you to set timer for me,directive
please set the timer for me,directive
i would like a timer set,directive
can you set a timer,directive
i need you to set a time,directive
i need a timer set for 15 minutes,directive
start a countdown for 20 minutes,directive
set a timer for 15 minutes,directive
i'll need you to set a timer for 10 minutes,directive
let's get a timer set for 5 minutes,directive
set a timer for 35 minutes,directive
please start counting down from 10 minutes,directive
let's get a timer going for 10 minutes,directive
i need a timer for 20 seconds,directive
timer 5 minutes,directive
alert me in 20 minutes,directive
give me a 10 minute countdown,directive
let me know in 15 minutes please,directive
"i'm cooking an egg, timer for 3 mins",directive
10 minute timer,directive
start a timer for 10 minutes,directive
timer 10 minutes,directive
count down 10 minutes,directive
make up a timer for me,directive
create a timer for me,directive
can you set a timer for me,directive
i need to set a timer,directive
set up a timer,directive
could you start a timer for me,directive
lets set a timer for me,directive
please run a timer for me,directive
set a one minute timer,directive
set a five minute timer,directive
set a seven minute timer,directive
start a timer for me,directive
set a four minute timer,directive
set a six minute timer,directive
how do i set a timer,directive
i want a timer for 5 minutes,directive
timer for 5 minutes,directive
set a timer to go off in 5 minutes,directive
set timer for 5 minutes,directive
i want to set a timer,directive
make a timer for 5 minutes,directive
please set a timer for,directive
remind me that time is up in sixty minutes,directive
set an alarm for nine minutes from now,directive
tell me when ninety minutes have passed,directive
please set timer for 4 pm,directive
want 5 minute timer,directive
set 30 minute timer,directive
get a 3 minute timer,directive
"please, can you set the timer for me",directive
can you please the timer,directive
will you set the timer,directive
what is the meaning of realism,question
what is regard mean,question
what is the meaning of interorganizational,question
what is it is all relative mean,question
what is intercontinental mean,question
what is the meaning of supercede,question
what is let it be mean,question
what is the definition of incomprehensible,question
what is the meaning of stupendous,question
what is the definition of intelligent,question
what is good riddance mean,question
what is break a leg mean,question
what is the meaning of hyperactive,question
what is the definition of valor,question
what is stupedous meant,question
find the meaning of qat,question
what the heck is qat,question
define qat for me,question
read me a definition for qat,question
look up qat please,question
what might the meaning of altruism be,question
exactly what does altruism mean,question
what does altruism mean,question
what is the definition of altruism,question
what is the meaning of altruism,question
affiliate's definition is what,question
the definition of affiliate is,question
what's the meaning of affiliate,question
what's affiliate definition,question
definition of affiliate is what,question
whats the definition of poor,question
"describe the meaning of ""dog",question
"what does ""money"" mean",question
tell me what the word die means,question
what is the definition of succumb,question
what is the meaning of telepathy,question
what does tertiary mean,question
tell me the definition of the word redemption,question
what is the meaning of the word lux,question
what is an ataraxy,question
what does the word ataraxy mean,question
what does ataraxy mean,question
use the word ataraxy in a sentence,question
define ataraxy,question
what does discretionary mean,question
define discretionary,question
i want to know the definition of discretionary,question
can you give the definition of deiscretionary,question
let's hear the definition of iridium,question
what's the definition of analogy,question
can you tell me the definition of sucrose,question
definition of anachronism,question
what's the definition of patriarchy,question
can you tell me the definition of yttrbium,question
please share the definition of episcopalian,question
what does saffron mean,question
define sonogram,question
define thoroughbred,question
what's the meaning of a fortnight,question
what is an anachronism,question
what's the meaning of emulsify,question
tell me what cyst means,question
what is the definition of flange,question
tell me what flange means,question
define flange,question
flange means what,question
what is the meaning of flange,question
"what does ""rescind"" mean",question
"what is the meaning of word ""rescind",question
"is ""rescind"" a word of positive connotation",question
"where i can use word ""rescind",question
read me the definition of ajar,question
what does ajar mean,question
can you show me the dictionary definition of ajar,question
tell me what monstrosity means,question
give me the definition of ajar,question
what is the definition of didactic,question
i need to know what adumbrate means can you look it up for me now,question
i want to know what the word discomfit means,question
find what the word diaphanous mean please,question
do you know what calumny means  please look it up for me,question
find out what the word abrogate means for me,question
tell me what edict means,question
what does the word abjure mean,question
can you tell me what dirge means,question
tell me what the word arboreal means,question
whats the definition of transmute,question
what is the meaning of the word slander,question
what is meant by defense,question
tell me what the word bounty means,question
what does deceive mean,question
define zesty,question
look up zesty in dictionary,question
definition of zesty,question
what is the definition of zesty,question
what does zesty mean,question
tell me what alternative means,question
what does alternative mean,question
give me the meaning of alternative,question
tell me the meaning of alternative,question
does life have meaning,question
is being alive the meaning of life,question
what is the real meaning of life,question
what is the answer to the meaning of life,question
is there really an answer to the meaning of life,question
does life have a meaning,question
who can tell me if there's any meaning to life,question
what makes life have any meaning,question
why do you think we're here,question
what's the answer to existence,question
what's the point of sentience,question
what's the purpose of existence,question
what's the purpose of life,question
what's the point of this dumpster fire known as life,question
what is life's meaning,question
is there a greater purpose in life,question
what is our purpose in life,question
how is life in existence,question
what's lifes meaning,question
what exactly is the meaning of life,question
whats lifes meaning exactly,question
what's the meaning of this life,question
what is the meaning of life here,question
does my life have meaning,question
i wish to know the meaning of life,question
i wanna know the meaning of life,question
i wanna know the point of life,question
i need to know the point of life,question
i must know the point of life,question
tell the meaning of life,question
i gotta know the meaning of life,question
what is your take on the meaning of life,question
tell me what is the purpose of life,question
what meaning does life hold,question
what do you think is the meaning of like,question
how do i find the meaning of life,question
what is the purpose of exsistance,question
what is your version on the meaning of life,question
what is your explanation for the meaning of life,question
what is the purpose of creation,question
can you figure out the meaning of life,question
whats your take on the meaning of life,question
can you explain the meaning of life to me,question
what is life all about,question
can you explain the meaning of life,question
"what's the point of life, anyways",question
the meaning of life please,question
the meaning of life,question
i'd like to me told the meaning of life,question
do you know the meaning of life,question
say what the meaning of life is,question
can you tell me life's meaning,question
what's the meaning of my life,question
what is the underlying purpose to life,question
what do you think about the meaning of life,question
what is life’s meaning,question
help me figure out the meaning of life,question
"would you tell me the meaning of life, please",question
"could you tell me the meaning of life, please",question
can you tell me the meaning of life,question
could you tell me the meaning of life,question
"can you tell me the meaning of life, please",question
what does life mean to you,question
is there really a meaning of life,question
is there any meaning to being alive,question
what is the meaning of my life,question
what is the point of life,question
what's the point of everything,question
is there a meaning to life,question
why are we here in life,question
can you share the meaning of life,question
research the meaning of life,question
can you tell me what you think the meaning of life is,question
what is our purpose here on earth,question
is love the meaning of life,question
is there a reason people exist,question
what is the secret or meaning to life,question
what does life mean on a deeper level,question
how would you put what life is all about,question
how would you describe what life means,question
what do people say life means or the meaning is,question
life has what meaning or what's the secret to it,question
where is there meaning in life,question
what is the meaning of this life,question
do you know what the meaning of life is,question
what's life's meaning,question
"does life have a meaning, according to you",question
does this life have a meaning,question
can you share with me your interpretation of the meaning of life,question
what do you think is the meaning of life,question
is there a meaning in life,question
i wonder if you can explain the meaning of life,question
"i always wonder about the meaning of life, can you tell me",question
what's my meaning in life,question
define the meaning of life,question
meaning of life is,question
what is your perception of the meaning of life,question
whats the meaning of life,question
what do you think the meaning of life is,question
what is behind life's meaning,question
i need help finding my mobile phone,directive
help me figure out where my cell phone is,directive
give me a hand finding my mobile device,directive
i can't find my cell and need help locating it,directive
can you help me find my cell,directive
"help, i cannot find my phone",directive
i can't seem to find my phone,directive
are you able to track a phone,directive
my phone cannot be found,directive
i have misplaced my phone,directive
i don't know where i left my phone,directive
i left my phone somewhere,directive
i am looking for my phone,directive
i need you to find my phone,directive
please locate my phone,directive
can you help me find my lost phone,directive
i need help figuring out where my phone is,directive
please help me figure out where my lost phone is,directive
"please help me find my phone, because i lost it",directive
"i lost my phone, can you help me find it",directive
who has seen my cellphone,directive
have you seen my cellphone,directive
can you find my cellphone,directive
find my cellphone,directive
please help me find my phone,directive
where my phone,directive
where was the last place i had my phone,directive
can you find my iphone,directive
i can't find my phone,directive
"call my phone, i can't find it",directive
can you find my lost phone,directive
do you know where my phone is,directive
can you help me find my cellphone,directive
can you call my cellphone,directive
my phone is lost - can you help me find it,directive
where is my phone,directive
ai can you help me find my phone,directive
"ai, i lost my phone, help me find it please",directive
"ai, please help me find my phone",directive
ai locate my phone,directive
ai find my phone,directive
how can i find my phone,directive
"my phone is lost, can you help with that",directive
i need to locate my phone,directive
find out where my phone is,directive
help me find my phone,directive
locate my phone please,directive
what is the location of my phone,directive
my phone is currently lost,directive
i don't remember where my phone is,directive
locate my phone for me,directive
the location of my phone is unknown to me,directive
find my phone,directive
i need to find my phone,directive
please aid in my searching for my lost phone,directive
please help me locate my phone,directive
where did i last place my phone,directive
can you assist me in locating my phone,directive
is my phone in the house,directive
i lost my phone and need help retrieving it,directive
help me search for my phone,directive
misplaced my phone,directive
can you help locate my phone,directive
"i need my phone, but can't find it",directive
i lost my phone and need assistance,directive
i don't know where my phone is,directive
i can't find my phone do you know where it is,directive
please tell me where my phone is,directive
can you help me find my phone,directive
do you know where my phone is located now,directive
can you track the location of my phone,directive
where can i find my phone,directive
can you locate my phone,directive
do you know where i left my phone,directive
where is my phone now,directive
"alexa, tell me the location of my phone",directive
"siri, where is my iphone",directive
"siri, tell me where my iphone is",directive
"siri, find my iphone",directive
help me locate my phone,directive
you need to help me find my cellphone,directive
help me find my cellphone,directive
please help me find my cellphone,directive
where did i put my phone,directive
tell me where my phone is,directive
please find my phone,directive
locate my phone,directive
i would like some help finding my phone,directive
i need to know where my phone is,directive
i seemed to misplaced my phone,directive
i lost my phone,directive
i need some help finding my phone,directive
can you locate my phone for me,directive
i don't know where i put my phone,directive
help find my phone,directive
i would like to know where my phone is,directive
i'd like help finding my fon,directive
i can't locate my phone,directive
can you tell me where i left my phone,directive
can you please locate my phone,directive
how do i put in a pto request for the first to the ninth,inform
am i allowed to put in a pto request for now to april,inform
is there a time i can put in a pto request for dec 2 to new years,inform
when can i put a pto request in for feb 22 to march 1,inform
i need a pto request on march 1 to 2,inform
on march 1-2 i want a pto request made for me,inform
schedule a pto request for me on march 1-2,inform
for march 1 to 2 make a pto request for me,inform
i want to schedule a pto request on march 1-2,inform
"between october 7th and october 10th, i'd like for there to be a pto request for me",inform
i need a pto request for the dates jan 15th to jan 20th,inform
let's do a personal pto request for the dates may 12th to may 15th,inform
can you set up a pto request for me for march 20th to april 12th,inform
i'd like for their to be a pto request for me made for the dates june 4th to june 8th,inform
i'd like to go on vacation,inform
create a pto request for march 21st to march 26th,inform
i need to put in a pto request from the 8th to the 17th of january,inform
can you put in a pto request for the 5th of june to june 8th,inform
"from december 22nd to the 25th, make me a pto request",inform
i need a pto request put in for the weekend of june 1st to june 2nd,inform
how do i schedule vacation days,inform
put in a pto request for march 4 to march 6,inform
i need to put in a pto request for march 4 to march 6,inform
how do i use my vacation days,inform
how do i put in for vacation,inform
how can i schedule a vacation request,inform
can you put in a pto request for march 4 to march 6 for me,inform
put in for time off march 4 to march 6,inform
where do i make a vacation request,inform
can i take pto form march 4 to march 6,inform
may i take a pto on february 7 and 8,inform
please tell me how to submit a vacation request,inform
"can i take a pto for two days, starting on february 7",inform
i would like to know how to make a vacation request,inform
please tell me how to go about asking for a vacation,inform
can you tell me how to make a vacation request,inform
i would like to request a pto on february 7 and 8,inform
i would like to take a paid time off for february 7 and 8,inform
would you be able to tell me how to make a vacation request,inform
"is it possible for me to take a pto for two days, starting february 7",inform
i want to put in a request for pto from may 5 to may 12,inform
i want you to make me a pto request for me for april twenty through may two,inform
i want to request pto from november 7 to 11,inform
how can i request a vacation from work,inform
how do i request vacation time,inform
what do i need to do to request vacation time off,inform
can you put in a pto request for me for july second and third,inform
what do i need to do if i want to ask for vacation time,inform
put in a pto request for me i want it for the ninth and the tenth of august,inform
how do i ask to have a vacation,inform
can you schedule a vacation for next week,inform
i'd like to make a vacation request,inform
what do i do to request a vacation,inform
how can i make a vacation request,inform
how do i book a vacation,inform
what is the process for requesting a vacation,inform
"i want to schedule a vacation, can i request that through you",inform
can i put in a vacation request with you,inform
"i need to set up a vacation request, what do i need to give you",inform
"i need to take some time off, can i have the next week off",inform
what do i need to make a vacation request with you,inform
i need a pto request for march 3rd and 4th,inform
would it be possible to make a pto request for january 15th and 16th,inform
please put in a pto request for june 5th and 6th,inform
set a pto request for april 1st and 2nd,inform
i would like to make a pto request for july 17th and 18th,inform
submit a request for pto for the dates may 5th to the 12th,inform
please place a pto request for february 18th to the february 25th,inform
i would like you put in a pto request for the dates july 4th to the 8th,inform
i need to submit a request for pto for june 12th to june 14th,inform
can you put in a pto request for march 7th to the 9th,inform
i'd like to take a vacation day from 2/24 to 2/25,inform
i'd like to schedule some pto from 2/22 to 2/25,inform
make a pto request from april 2 to april 4,inform
request pto from march 8th until march 11th,inform
please request pto for me from march 3rd to march 7th,inform
could you submit a pto request for me from dates oct thirty to nov second,inform
"could you submit a pto request for me from dates mar 3 to 9, please",inform
"could you submit a pto request for me for dates april 21 to 30, please",inform
"can you submit a pto request for me from dates nov 2 to 10, please",inform
could you submit a pto request for me for dates june 11 to 14,inform
please make a pto request for me from dates jan 21 to begininning of february,inform
please make a pto request for dates tomorrow to the twentieth,inform
please make a pto request from dates september 1 to 15,inform
make a pto request for dates november 11 to black friday,inform
make a pto request from dates may 3 to 9,inform
i want to put in a pto request for march 1-8,inform
how can i go about requesting a vacation,inform
can you put in a pto request for me from march 1-7,inform
please assist me by making a pto request for march 11-18,inform
would i be able to put in a pto request for march 21-26,inform
create for me a pto request for march 16-21,inform
what steps should i take if i want to request vacation,inform
tell me how to request vacation,inform
i'm intereted in requesting pto from april 1-5,inform
i need help making a pto request for march 3-10,inform
am i able to place a pto request for february 20-25,inform
can i request pto from march 9-16,inform
what is the protocol for requesting a vacation,inform
i want help making a pto request for february 22-27,inform
lets hear an interesting fact about funko pops,question
know any interesting facts,question
what is one fun fact,question
tell me a fact,question
lets hear a fact,question
any unique trivia about beats headphones,question
tell me a fact i may not know,question
what is one thing i might not know about nike shoes,question
tell me something interesting about sperm whales,question
i want to know a fun fact about pluto,question
what's an interesting fact about flamingos,question
tell me a random fact,question
have any cool facts on reptiles,question
i want to learn an interesting fact about cats,question
read me some fun facts,question
tell me a few facts about cats,question
help me learn something intriguing about turtles,question
read me some interesting information about cats,question
what's an interesting tidbit about rivers,question
can you tell me something i don't know about banks,question
can you tell me a fun fact regarding cars,question
do you know any fun facts about shampoo,question
what's a fun fact about eggs,question
what's a neat fact about twinkies,question
i'd like to hear a fun fact about adult entertainment,question
tell me something neat about slinkies,question
tell me something fun about gravity,question
say trivia about lebron james,question
tell me a fun fact about mt everest,question
give me some trivia about lebron james,question
what are some trivia questions about lebron james,question
repeat that fun fact about mt everest,question
what is a fun fact about mt everest,question
say a fun fact about mt everest,question
do you know any fun facts about mt everest,question
explain some trivia about lebron james,question
communicate trivia about lebron james,question
what are fun facts about lighthouses,question
can you tell me fun facts about lighthouses,question
tell me interesting facts about lighthouses,question
tell me a fun trivia bit about artificial intelligence,question
do you know any trivia about the ocean,question
tell me something neat about the ocean floor,question
i'd like to hear a fun fact about the nfl,question
i want to hear an interesting fact about dinosaurs,question
please tell me an interesting tidbit about the roman empire,question
can you share some trivia with me about us history,question
do you know any fun facts about the ocean,question
i want to learn a neat fact about black holes,question
can you give me a good piece of trivia about the rainforest,question
tell me something interesting about outer space,question
share with me a fun fact about outer space,question
tell me a neat fact about the ocean,question
tell me some interesting trivia about dinosaurs,question
i want to hear a fun fact about american presidents,question
give me an interesting fact about antarctica,question
can you share something interesting about world war one,question
i want to know some trivia about our solar system,question
tell me a fun fact about the olympics,question
tell me something cool about elephants,question
name some awesome things about dogs,question
list some neat stuff about rats,question
what's a good trivia fact about china,question
give me a fun fact about otters,question
do you know any fun facts about australian football,question
tell me some trivia about birds,question
do you know any trivia about ostriches,question
what's a good fun fact about great britain,question
give me trivia about bats,question
fun facts about tigers,question
tell me something interesting about los angeles,question
what's a fun fact about mythology,question
what's a fun fact relating to elephants,question
what's a cool and interesting thing about dogs,question
i'd like to hear some trivia about florida,question
tell me a fun fact about butterflies,question
please give me a really impressive piece of trivia about bubble gum,question
what is the most fun fact you know about the film industry,question
please tell me trivia about hamburgers,question
what is the most unique piece of trivia relating to cameras,question
what's a fun fact about elephants,question
tell me some amazing trivia about radios,question
tell me a fun fact about computer,question
please tell me a really fun fact about facebook,question
can you tell me the most interesting fact about resistors,question
what is an amazing trivia fact relating to 3d printing,question
tell me a fun fact about tigers,question
can you tell me a fun fact about elephants,question
what is a fun fact about dogs,question
what would be a fun fact about cats,question
tell me all about the trivia with friends,question
i need to know trivia on star wars,question
lets fin out some fun facts about humans,question
i want to know all about trivia for the office,question
explain to me the trivia on twilight,question
lets go threw some trivia on sports,question
"trivia about something,tell me some",question
tell me about something some trivia,question
tell me some something trivia,question
"about something,tell me some trivia",question
adjust your language setting to english,directive
change and set your language setting to english,directive
set your language setting to english,directive
make your preferred language english,directive
"i would like to have language set to spanish, please",directive
please give me your responses only in french from now on,directive
can we speak in english rather than zulu,directive
i would like to change your language from portuguese to italian,directive
change the response language to french please,directive
what languages can i switch to for your responses,directive
can you give me the answers in italian instead of english,directive
i want us to speak to each other in spanish from now on,directive
"switch the language for your responses, please",directive
let's speak in mandarin instead of english,directive
how can we start communicating in french rather than english,directive
please change the language that you are responding in,directive
how do i change the language that your responses are delivered in,directive
i need to switch the language for your responses,directive
i need to change language to spanish,directive
fix my language to spanish,directive
speak in the language english,directive
i need to change my speaking to spanish,directive
i want to switch speaking to french,directive
replace my language to chinese,directive
can you change your language to japanese,directive
change your language to spanish please,directive
can you translate that to french,directive
please respond to me in spanish,directive
can you speak to me using japanese,directive
i would appreciate it if you could talk to me in french,directive
do you know french,directive
can we talk in french,directive
can you talk to me in italian,directive
can you speak to me in french,directive
can you speak to me in chinese,directive
talk to me in italian from now on,directive
can i start talking to you in french,directive
can you talk to me in french,directive
can you talk in spanish,directive
can i start talking to you in spanish,directive
please talk to me in spanish,directive
"can you understand me, if i start talking in italian",directive
is it ok if i start speaking to you in german,directive
can i give you instructions in japanese,directive
talk to me in spanish from now on,directive
can you talk to me in chinese,directive
i am going to switch to greek,directive
i want to use spanish as my language,directive
i will be speaking chinese going forward,directive
the language i am using will now be italian,directive
i am changing over to italian now,directive
is there an option to speak only in mandarin,directive
let's go ahead and switch your language,directive
i want to edit the language,directive
is it possible to only talk in spanish,directive
let me talk to you in greek,directive
change the native language,directive
can i speak to you in german,directive
is there an option to change the language,directive
i need to change the language to french,directive
how can i adjust the spoken language,directive
answer me in french,directive
please respond in latin from now on,directive
talk to me in italian,directive
let’s chat using spanish,directive
i need the language set to swahili,directive
change the language you're using to american english,directive
switch the language setting over to german,directive
"change language to french, please",directive
can you swap the language to afrikaans for me,directive
i want you to address me in italian,directive
i want you to speak in french,directive
start talking in spanish,directive
can you speak in french,directive
i want to hear from you in german,directive
change your language setting to german,directive
alter your language to french,directive
change your language prefrences japanese,directive
change your language setting to chinese,directive
alter your language choice to dutch,directive
change your language,directive
can i change your language,directive
select a new language,directive
i want to put you in a different language,directive
let's change the language for you,directive
set default language to english,directive
you should respond in english,directive
please respond in english,directive
change your spoken language to english,directive
change language setting to english,directive
switch your language setting to english,directive
i want your language changed to chinese,directive
can you start talking to me in spanish from here on out,directive
please speak to me in chinese,directive
please make your language setting french,directive
please speak german to me from now on,directive
i need your language setting to be russian now,directive
please change your language setting to spanish,directive
i want your responses to be in french,directive
"from now on, i want you to answer me using japanese",directive
on what date do i get paid,inform
what day do i get my paycheck,inform
i need to know when to expect my next paycheck,inform
tell me when my next paycheck will arrive,inform
what date do i get my next paycheck,inform
when will i be getting my next paycheck,inform
when's the the last time i was paid,inform
what date did i receive my last paycheck,inform
when was my last payday,inform
when was my last paycheck,inform
when's the last time i got a paycheck,inform
i need to know when i was paid last,inform
tell me when i last got paid,inform
tell me when i received my last paycheck,inform
i want to know when i was last paid,inform
when did i get my last paycheck,inform
please give me the expected arrival date for my next paycheck,inform
tell me when i received my most recent paycheck,inform
do you know when i can expect my next paycheck,inform
i need to know when i got latest paycheck,inform
tell me when my next paycheck is set to arrive,inform
can you confirm the date my last paycheck was received,inform
can you tell me what day my next paycheck will come,inform
what is the date of my last paycheck,inform
i need to know the date my next paycheck will be here,inform
please find the receipt date for my last paycheck,inform
when does my paycheck arrive,inform
i want to know when to expect my next paycheck,inform
will i get my paycheck soon,inform
what date will my next paycheck be here,inform
is my paycheck arriving soon,inform
what day will my paycheck come,inform
did i receive my paycheck this week,inform
when will my next paycheck be,inform
when am i paid,inform
when is my pay period,inform
how much longer until i have a direct deposit,inform
how many days until my next payday,inform
